2022-01-17 02:18:56,784:Logger:Wrong Pattern Entered least 4 len and only first alphabet capital
2022-01-17 02:19:14,119:Logger:Wrong Pattern Entered least 4 len and only first alphabet capital
2022-01-17 02:19:23,582:Logger:Wrong Pattern Entered least 4 len and only first alphabet capital
2022-01-17 02:33:00,550:Logger:Wrong Pattern Entered atleast len should be 4 and first alphabet should be capital 
2022-01-17 02:33:12,427:Logger:Wrong Pattern Entered atleast len should be 4 and first alphabet should be capital 
2022-01-17 02:45:44,443:Logger:Wrong Pattern Entered, should follow the EmailId syntax
2022-01-17 02:46:17,829:Logger:Wrong Pattern Entered, should follow the EmailId syntax
2022-01-17 02:49:53,652:Logger:Wrong Pattern Entered, should follow the EmailId syntax
2022-01-17 02:50:37,377:Logger:Wrong Pattern Entered, should follow the Email-Id syntax
2022-01-17 02:56:48,769:Logger:Wrong Pattern Entered, should follow the Mobile number syntax
2022-01-17 02:57:01,336:Logger:Wrong Pattern Entered, should follow the Mobile number syntax
2022-01-17 02:57:15,514:Logger:Wrong Pattern Entered, should follow the Mobile number syntax
2022-01-17 02:58:07,392:Logger:Wrong Pattern Entered, should follow the Mobile number syntax
2022-01-17 02:58:48,091:Logger:Wrong Pattern Entered, should follow the Mobile number syntax
2022-01-17 02:58:56,731:Logger:Wrong Pattern Entered, should follow the Mobile number syntax
2022-01-17 02:59:17,826:Logger:Wrong Pattern Entered, should follow the Mobile number syntax
